Codigo_IBGE,Municipio,UF,Regiao,Populacao_2024,Faixa_populacao,Onibus_intramunicipal,Onibus_intermunicipal,Intermunicipal_circula_interno,Frota_adaptada_PCD,Tem_onibus_publico_local,Classificacao,Status_Verificacao_Web,Fonte_Verificacao,Data_Verificacao,Observacao_Verificacao
1707702,Filadélfia,TO,1 - Norte,7823,2 - 5001 até 10000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1708205,Formoso do Araguaia,TO,1 - Norte,19428,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1708254,Tabocão,TO,1 - Norte,3676,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1708304,Goianorte,TO,1 - Norte,4840,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1709005,Goiatins,TO,1 - Norte,12816,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1709302,Guaraí,TO,1 - Norte,25681,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1709500,Gurupi,TO,1 - Norte,89574,5 - 50001 até 100000,Sim,Sim,Não,Totalmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1709807,Ipueiras,TO,1 - Norte,1627,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1710508,Itacajá,TO,1 - Norte,6969,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1710706,Itaguatins,TO,1 - Norte,5206,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Buscas retornaram apenas empresas de transporte intermunicipal do estado do TO, nada específico sobre Itaguatins-TO",2026-08-11,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1710904,Itapiratins,TO,1 - Norte,3679,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1711100,Itaporã do Tocantins,TO,1 - Norte,2464,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1711506,Jaú do Tocantins,TO,1 - Norte,3403,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1711803,Juarina,TO,1 - Norte,2305,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1711902,Lagoa da Confusão,TO,1 - Norte,16312,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1711951,Lagoa do Tocantins,TO,1 - Norte,3610,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1712009,Lajeado,TO,1 - Norte,3520,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1712157,Lavandeira,TO,1 - Norte,1673,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1712405,Lizarda,TO,1 - Norte,2991,1 - Até 5000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1712454,Luzinópolis,TO,1 - Norte,2803,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1712504,Marianópolis do Tocantins,TO,1 - Norte,4772,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1712702,Mateiros,TO,1 - Norte,2888,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1712801,Maurilândia do Tocantins,TO,1 - Norte,3171,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1713205,Miracema do Tocantins,TO,1 - Norte,18787,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1713304,Miranorte,TO,1 - Norte,13056,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1713601,Monte do Carmo,TO,1 - Norte,5722,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1713700,Monte Santo do Tocantins,TO,1 - Norte,2500,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1713809,Palmeiras do Tocantins,TO,1 - Norte,4897,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Resultados majoritariamente sobre Palmas-TO (capital), nada específico sobre Palmeiras do Tocantins-TO",2026-08-13,"Confusão com Palmas-TO, sem evidência válida"
1713957,Muricilândia,TO,1 - Norte,3485,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1714203,Natividade,TO,1 - Norte,8961,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1714302,Nazaré,TO,1 - Norte,4660,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1714880,Nova Olinda,TO,1 - Norte,10609,3 - 10001 até 20000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1715002,Nova Rosalândia,TO,1 - Norte,3403,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1715101,Novo Acordo,TO,1 - Norte,4102,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1715150,Novo Alegre,TO,1 - Norte,1841,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1715259,Novo Jardim,TO,1 - Norte,2263,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1715507,Oliveira de Fátima,TO,1 - Norte,1211,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1715705,Palmeirante,TO,1 - Norte,4909,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1715754,Palmeirópolis,TO,1 - Norte,7119,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1716109,Paraíso do Tocantins,TO,1 - Norte,55164,5 - 50001 até 100000,Sim,Sim,Não,Parcialmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1716208,Paranã,TO,1 - Norte,10854,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1716307,Pau DArco,TO,1 - Norte,4085,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1716505,Pedro Afonso,TO,1 - Norte,14731,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1716604,Peixe,TO,1 - Norte,9438,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1716653,Pequizeiro,TO,1 - Norte,5038,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1716703,Colméia,TO,1 - Norte,9158,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1717008,Pindorama do Tocantins,TO,1 - Norte,4596,1 - Até 5000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1717206,Piraquê,TO,1 - Norte,2265,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1717503,Pium,TO,1 - Norte,7375,2 - 5001 até 10000,Sim,Sim,Não,Sem adaptação,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1717800,Ponte Alta do Bom Jesus,TO,1 - Norte,4295,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1717909,Ponte Alta do Tocantins,TO,1 - Norte,7842,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718006,Porto Alegre do Tocantins,TO,1 - Norte,2953,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718204,Porto Nacional,TO,1 - Norte,68555,5 - 50001 até 100000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718303,Praia Norte,TO,1 - Norte,9460,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Resultado confundido com Praia do Meio em Natal-RN, nada específico sobre Praia Norte-TO",2026-08-08,"Homônimo/confusão geográfica, sem evidência válida"
1718402,Presidente Kennedy,TO,1 - Norte,3051,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718451,Pugmil,TO,1 - Norte,2231,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718501,Recursolândia,TO,1 - Norte,3471,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718550,Riachinho,TO,1 - Norte,4039,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1718659,Rio da Conceição,TO,1 - Norte,1822,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1718709,Rio dos Bois,TO,1 - Norte,2833,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1718758,Rio Sono,TO,1 - Norte,4798,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas empresas de transporte intermunicipal do TO e notícia de acidente em outro município (Rio Sono-TO),2026-08-13,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1718808,Sampaio,TO,1 - Norte,4372,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1718840,Sandolândia,TO,1 - Norte,3873,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718865,Santa Fé do Araguaia,TO,1 - Norte,7489,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718881,Santa Maria do Tocantins,TO,1 - Norte,2726,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718899,Santa Rita do Tocantins,TO,1 - Norte,2291,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1718907,Santa Rosa do Tocantins,TO,1 - Norte,4789,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1719004,Santa Tereza do Tocantins,TO,1 - Norte,2889,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1720002,Santa Terezinha do Tocantins,TO,1 - Norte,2463,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1720101,São Bento do Tocantins,TO,1 - Norte,5936,2 - 5001 até 10000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1720150,São Félix do Tocantins,TO,1 - Norte,1875,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1720200,São Miguel do Tocantins,TO,1 - Norte,13939,3 - 10001 até 20000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1720259,São Salvador do Tocantins,TO,1 - Norte,2385,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1720309,São Sebastião do Tocantins,TO,1 - Norte,4189,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1720499,São Valério,TO,1 - Norte,4547,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1720655,Silvanópolis,TO,1 - Norte,5252,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1720804,Sítio Novo do Tocantins,TO,1 - Norte,11334,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1720853,Sucupira,TO,1 - Norte,1599,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1720903,Taguatinga,TO,1 - Norte,14247,3 - 10001 até 20000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1720937,Taipas do Tocantins,TO,1 - Norte,2086,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1720978,Talismã,TO,1 - Norte,2509,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1721000,Palmas,TO,1 - Norte,323625,6 - 100001 até 500000,Sim,Sim,Não,Totalmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Confirmado,Sistema de transporte público municipal amplamente documentado (site da prefeitura/empresa de transporte municipal),2026-08-07,Capital estadual com sistema de ônibus urbano consolidado e publicamente conhecido; dado do MUNIC 2024 já indicava 'Sim' corretamente.
1721109,Tocantínia,TO,1 - Norte,7751,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1721208,Tocantinópolis,TO,1 - Norte,23203,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1721257,Tupirama,TO,1 - Norte,2003,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1721307,Tupiratins,TO,1 - Norte,1897,1 - Até 5000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1722081,Wanderlândia,TO,1 - Norte,10751,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1722107,Xambioá,TO,1 - Norte,10683,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2100055,Açailândia,MA,2 - Nordeste,110506,6 - 100001 até 500000,Sim,Não,-,-,Sim,Possui ônibus urbano (intramunicipal),Corrigido,https://omaranhense.com/acailandia-municipio-e-empresa-de-transporte-sao-acionadas-pelo-mpma-por-falta-de-acessibilidade/,2026-08-07,MUNIC 2024 registrou 'Não'. Açailândia possui transporte coletivo urbano operado pela concessionária Linux Transportes – EIRELI desde 2017 (7 veículos).
2100105,Afonso Cunha,MA,2 - Nordeste,6296,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária intermunicipal (Afonso Cunha-MA),2026-08-10,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
2100154,Água Doce do Maranhão,MA,2 - Nordeste,12446,3 - 10001 até 20000,Sim,Sim,Sim,Parcialmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
2100204,Alcântara,MA,2 - Nordeste,18774,3 - 10001 até 20000,Sim,Não,-,Sem adaptação,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
2100303,Aldeias Altas,MA,2 - Nordeste,23782,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
2100402,Altamira do Maranhão,MA,2 - Nordeste,6565,2 - 5001 até 10000,Sim,Sim,Sim,Parcialmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
2100436,Alto Alegre do Maranhão,MA,2 - Nordeste,24543,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
2100477,Alto Alegre do Pindaré,MA,2 - Nordeste,26411,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
2100501,Alto Parnaíba,MA,2 - Nordeste,11382,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2100550,Amapá do Maranhão,MA,2 - Nordeste,7364,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas regulamento estadual de transporte intermunicipal (Amapá do Maranhão-MA),2026-08-10,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
2100600,Amarante do Maranhão,MA,2 - Nordeste,38333,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,"Secretaria de infraestrutura/transportes existe e há cooperativa de 'transporte alternativo' (COOPERVAM), mas sem confirmação clara de sistema de ônibus urbano regular. Mantido dado original do MUNIC."
2100709,Anajatuba,MA,2 - Nordeste,26221,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2100808,Anapurus,MA,2 - Nordeste,14111,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal ou localidades homônimas; sem confirmação confiável específica. Mantido dado original do MUNIC.
2100832,Apicum-Açu,MA,2 - Nordeste,17984,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas transporte intermunicipal e táxi/mototáxi local; sem confirmação específica. Mantido dado original do MUNIC.
2100873,Araguanã,MA,2 - Nordeste,11347,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica de ônibus urbano. Mantido dado original do MUNIC.
2100907,Araioses,MA,2 - Nordeste,40278,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2100956,Arame,MA,2 - Nordeste,26191,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas informações genéricas sobre empresas intermunicipais no Maranhão; sem fonte específica sobre ônibus urbano em Arame. Mantido dado original do MUNIC.
2101004,Arari,MA,2 - Nordeste,30521,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
2101103,Axixá,MA,2 - Nordeste,12079,3 - 10001 até 20000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
2101202,Bacabal,MA,2 - Nordeste,107620,6 - 100001 até 500000,Sim,Não,-,-,Sim,Possui ônibus urbano (intramunicipal),Corrigido,https://cnpj.biz/23664634000144 (Transcolbac Transporte Coletivo de Bacabal LTDA),2026-08-07,"Empresa Transcolbac - Transporte Coletivo de Bacabal LTDA, registrada especificamente para 'transporte rodoviário coletivo de passageiros com itinerário fixo municipal'. Indica sistema de transporte coletivo municipal, divergindo do 'Não' do MUNIC 2024."
2101251,Bacabeira,MA,2 - Nordeste,17414,3 - 10001 até 20000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
2101301,Bacuri,MA,2 - Nordeste,16610,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal/fretamento ou bairros homônimos; sem confirmação confiável específica. Mantido dado original do MUNIC.
2101350,Bacurituba,MA,2 - Nordeste,5374,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária/transporte intermunicipal (Bacurituba-MA),2026-08-11,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
2101400,Balsas,MA,2 - Nordeste,106094,6 - 100001 até 500000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2101509,Barão de Grajaú,MA,2 - Nordeste,19458,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2101608,Barra do Corda,MA,2 - Nordeste,87672,5 - 50001 até 100000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Nenhuma fonte específica e confiável encontrada sobre existência de sistema de ônibus urbano próprio; textos genéricos de turismo mencionam apenas táxi/mototáxi. Mantido dado original do MUNIC.
2101707,Barreirinhas,MA,2 - Nordeste,67999,5 - 50001 até 100000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2101731,Belágua,MA,2 - Nordeste,8716,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas passagens intermunicipais (Belágua-MA),2026-08-08,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
2101772,Bela Vista do Maranhão,MA,2 - Nordeste,12073,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Resultados confundidos com localidades homônimas; sem fonte específica sobre Bela Vista do Maranhão. Mantido dado original do MUNIC.
2101806,Benedito Leite,MA,2 - Nordeste,5597,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2101905,Bequimão,MA,2 - Nordeste,19983,3 - 10001 até 20000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
2101939,Bernardo do Mearim,MA,2 - Nordeste,5983,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2101970,Boa Vista do Gurupi,MA,2 - Nordeste,7769,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Resultados sobre 'ônibus coletivos' referem-se a Gurupi-TO (outro município, outro estado), não a Boa Vista do Gurupi-MA",2026-08-10,"Confusão com Gurupi-TO, sem evidência válida"
2102002,Bom Jardim,MA,2 - Nordeste,34035,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Resultados confundidos com bairros homônimos em outras cidades; sem fonte específica sobre Bom Jardim/MA. Mantido dado original do MUNIC.
2102036,Bom Jesus das Selvas,MA,2 - Nordeste,29588,4 - 20001 até 50000,Sim,Não,-,Totalmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
2102077,Bom Lugar,MA,2 - Nordeste,12414,3 - 10001 até 20000,Sim,Não,-,Sem adaptação,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
2102101,Brejo,MA,2 - Nordeste,35322,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Texto genérico/padronizado sem confirmação confiável específica. Mantido dado original do MUNIC.
2102150,Brejo de Areia,MA,2 - Nordeste,9387,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Resultado sobre 'ônibus urbanos locais' refere-se à estação rodoviária de Brejo-MA (outro município), não Brejo de Areia",2026-08-08,"Confusão com município homônimo/rodoviária vizinha, descartada"
2102200,Buriti,MA,2 - Nordeste,30799,4 - 20001 até 50000,Recusa,Recusa,Recusa,Recusa,Sem info,Sem informação (recusa/não informou),Pendente,,,
2102309,Buriti Bravo,MA,2 - Nordeste,22940,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2102325,Buriticupu,MA,2 - Nordeste,56896,5 - 50001 até 100000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem fonte confiável específica sobre transporte urbano por ônibus. Mantido dado original do MUNIC.
2102358,Buritirana,MA,2 - Nordeste,13157,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre localidades homônimas ou serviços intermunicipais experimentais insuficientes para confirmação; sem confiança suficiente. Mantido dado original do MUNIC.
2102374,Cachoeira Grande,MA,2 - Nordeste,10004,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária intermunicipal (Cachoeira Grande-MA),2026-08-08,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
2102408,Cajapió,MA,2 - Nordeste,10342,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Resultado sobre 'linha A681 Cajupary' parece ser conteúdo de outro sistema/cidade, não confiável para Cajapió-MA",2026-08-08,"Evidência suspeita/incoerente com porte do município, descartada"
2102507,Cajari,MA,2 - Nordeste,16711,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal/fretamento ou bairros homônimos; sem confirmação confiável específica. Mantido dado original do MUNIC.
2102556,Campestre do Maranhão,MA,2 - Nordeste,12553,3 - 10001 até 20000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
2102606,Cândido Mendes,MA,2 - Nordeste,20413,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2102705,Cantanhede,MA,2 - Nordeste,24976,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
2102754,Capinzal do Norte,MA,2 - Nordeste,11664,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
2102804,Carolina,MA,2 - Nordeste,24606,4 - 20001 até 50000,Recusa,Recusa,Recusa,Recusa,Sem info,Sem informação (recusa/não informou),Pendente,,,
